334.0	333.0	0.997005988	(a,statelocatedingeopoliticallocation,b) <= (f,locationlocatedwithinlocation,j), (j,statelocatedingeopoliticallocation,b), (a,statelocatedingeopoliticallocation,f)
276.0	275.0	0.996376812	(a,organizationheadquarteredincountry,b) <= (i,citycapitalofcountry,f), (i,citylocatedincountry,b), (a,organizationheadquarteredincountry,f)
270.0	269.0	0.996296296	(a,personborninlocation,b) <= (i,buildinglocatedincity,b), (a,personborninlocation,f), (i,subpartof,f)
233.0	232.0	0.995708155	(a,organizationheadquarteredincity,b) <= (a,organizationheadquarteredincity,f), (i,organizationheadquarteredincity,f), (i,radiostationincity,b)
210.0	209.0	0.995238095	(a,atlocation,b) <= (a,atlocation,f), (f,mutualproxyfor,j), (j,personhasresidenceingeopoliticallocation,b)
196.0	195.0	0.994897959	(a,attractionofcity,b) <= (a,attractionofcity,f), (f,organizationhiredperson,j), (j,personhasresidenceingeopoliticallocation,b)
180.0	179.0	0.994444444	(a,subpartof,b) <= (f,agentcollaborateswithagent,j), (b,agentcontrols,f), (a,subpartof,j)
668.0	664.0	0.994011976	(a,locationlocatedwithinlocation,b) <= (j,agentactsinlocation,a), (e,locationlocatedwithinlocation,b), (e,mutualproxyfor,j)
164.0	163.0	0.993902439	(a,proxyfor,b) <= (i,politicianrepresentslocation,f), (i,proxyfor,b), (a,proxyfor,f)
140.0	139.0	0.992857143	(a,agentbelongstoorganization,b) <= (b,organizationhiredperson,h), (a,subpartof,b), (h,topmemberoforganization,b)
133.0	132.0	0.992481203	(a,bankbankincountry,b) <= (a,bankbankincountry,f), (i,citylocatedincountry,b), (i,proxyfor,f)
130.0	129.0	0.992307692	(a,agentcontrols,b) <= (e,agentcontrols,b), (e,organizationhiredperson,j), (j,topmemberoforganization,a)
119.0	118.0	0.991596639	(a,agentbelongstoorganization,b) <= (a,agentcollaborateswithagent,f), (f,organizationhiredperson,j), (j,topmemberoforganization,b)
119.0	118.0	0.991596639	(a,agentbelongstoorganization,b) <= (a,agentcollaborateswithagent,b), (b,organizationhiredperson,h), (h,topmemberoforganization,b)
111.0	110.0	0.990990991	(a,atdate,b) <= (i,agentcollaborateswithagent,f), (i,atdate,b), (a,subpartof,f)
208.0	206.0	0.990384615	(a,subpartof,b) <= (i,agentcollaborateswithagent,f), (i,subpartof,b), (a,subpartof,f)
92.0	91.0	0.989130435	(a,stadiumlocatedincity,b) <= (i,organizationheadquarteredincity,b), (a,stadiumlocatedincity,f), (i,televisionstationincity,f)
89.0	88.0	0.988764045	(a,citylocatedincountry,b) <= (i,citylocatedincountry,b), (a,citylocatedincountry,f), (i,proxyfor,f)
86.0	85.0	0.988372093	(a,radiostationincity,b) <= (i,organizationheadquarteredincity,b), (a,radiostationincity,f), (i,radiostationincity,f)
86.0	85.0	0.988372093	(a,countryalsoknownas,b) <= (i,citycapitalofcountry,a), (i,citylocatedincountry,e), (e,countryalsoknownas,b)
256.0	253.0	0.98828125	(a,attractionofcity,b) <= (i,airportincity,f), (a,attractionofcity,f), (i,buildinglocatedincity,b)
85.0	84.0	0.988235294	(a,subpartoforganization,b) <= (i,ceoof,b), (a,subpartoforganization,f), (i,topmemberoforganization,f)
337.0	333.0	0.988130564	(a,statelocatedingeopoliticallocation,b) <= (i,statelocatedingeopoliticallocation,b), (a,statelocatedingeopoliticallocation,f), (i,stateorprovinceisborderedbystateorprovince,f)
